ENGLISH NAME,EASTING,NORTHING,STUDENTS GENDER,DISTRICT
CHRISTIAN ALLIANCE COLLEGE,814734,829422,CO-ED,TUEN MUN
CCC KWEI WAH SHAN COLLEGE,838625,816420,CO-ED,EASTERN
CHINA HOLINESS CHURCH LIVING SPIRIT COLL,835963,835248,CO-ED,TAI PO
SHATIN TSUNG TSIN SECONDARY SCHOOL,836071,825643,CO-ED,SHA TIN
MARYKNOLL SECONDARY SCHOOL,840384,820690,CO-ED,KWUN TONG
YWCA HIOE TJO YOENG COLLEGE,836910,820078,CO-ED,KOWLOON CITY
NAM WAH CATHOLIC SECONDARY SCHOOL,833627,822396,CO-ED,SHAM SHUI PO
CARITAS YL CHAN CHUN HA SEC SCH,820785,833544,CO-ED,YUEN LONG
QES OLD STUDENTS' ASSOCIATION SEC SCH,818448,835587,CO-ED,YUEN LONG
TWGH WONG FUNG LING COLLEGE,842158,831569,CO-ED,SHA TIN
TWGH YAU TZE TIN MEM COLLEGE,815792,830640,CO-ED,TUEN MUN
CARITAS ST JOSEPH SEC SCH,828661,824163,CO-ED,KWAI TSING
ST ANTONIUS GIRLS' COLLEGE,842634,817986,GIRLS,KWUN TONG
SKH TANG SHIU KIN SECONDARY SCHOOL,836414,815231,CO-ED,WAN CHAI
HOI PING CHAMBER OF COMMERCE SEC SCH,836643.4,820052,CO-ED,KOWLOON CITY
CCC YENCHING COLLEGE,828916,824804,CO-ED,KWAI TSING
HKFEW WONG CHO BAU SECONDARY SCHOOL,812319,816586,CO-ED,ISLANDS
HK & KLN KFWA SUN FONG CHUNG COLLEGE,838311,832384,CO-ED,TAI PO
NOTRE DAME COLLEGE,837383,820612,CO-ED,KOWLOON CITY
ST CLARE'S GIRLS' SCHOOL,830618,814890,GIRLS,CENTRAL AND WESTERN
ST PETER'S SECONDARY SCHOOL,834102,812507,CO-ED,SOUTHERN
SKH ST SIMON'S LUI MING CHOI SEC SCH,815423,828669,CO-ED,TUEN MUN
POPE PAUL VI COLLEGE,832338,824887,GIRLS,KWAI TSING
JU CHING CHU SECONDARY SCHOOL (TUEN MUN),814523,827760,CO-ED,TUEN MUN
PRECIOUS BLOOD SECONDARY SCHOOL,843310,813979,GIRLS,EASTERN
RAIMONDI COLLEGE,833861,815490,CO-ED,CENTRAL AND WESTERN
OUR LADY'S COLLEGE,838317,822882,GIRLS,WONG TAI SIN
MISSION COVENANT CHURCH HOLM GLAD COLL,841886,819474,CO-ED,KWUN TONG
BETHEL HIGH SCHOOL,823193,837386,CO-ED,YUEN LONG
MA ON SHAN ST JOSEPH'S SECONDARY SCHOOL,841753,831353,CO-ED,SHA TIN
LOK SIN TONG YOUNG KO HSIAO LIN SEC SCH,836343,825248,CO-ED,SHA TIN
PLK LEE SHING PIK COLLEGE,828957,826531,CO-ED,TSUEN WAN
SKH ST MARY'S CHURCH MOK HING YIU COL,833279,821367,CO-ED,SHAM SHUI PO
HO LAP COLL,838207.9,821970.4,CO-ED,WONG TAI SIN
TIN KA PING SECONDARY SCHOOL,831560,839432,CO-ED,NORTH
QESOSA TONG KWOK WAH SECONDARY SCHOOL,818704,835914,CO-ED,YUEN LONG
CHIU CHOW ASSOCIATION SECONDARY SCHOOL,841745,830826,CO-ED,SHA TIN
BUDDHIST TAI KWONG CHI HONG COLLEGE,834867,834865,CO-ED,TAI PO
WELLINGTON ED ORG CHANG PUI CHUNG MEM SC,844682,820059,CO-ED,SAI KUNG
HO FUNG COLL (SPONSORED BY SIK SIK YUEN),831984.7,826825.8,CO-ED,TSUEN WAN
KING LING COLLEGE,844152,819901,CO-ED,SAI KUNG
CCC FUNG LEUNG KIT MEMORIAL SEC SCH,835878,834288,CO-ED,TAI PO
ROSARYHILL SCHOOL,836855,813840,CO-ED,WAN CHAI
CCC HEEP WOH COLLEGE,839132.2,823080.4,CO-ED,WONG TAI SIN
FANLING RHENISH CHURCH SECONDARY SCHOOL,832693,839696,CO-ED,NORTH
"ST CATHARINE'S SCH FOR GIRLS, KWUN TONG",840675,820033,GIRLS,KWUN TONG
CNEC LEE I YAO MEMORIAL SECONDARY SCHOOL,830551,824462,CO-ED,KWAI TSING
BISHOP HALL JUBILEE SCHOOL,836713,821191,CO-ED,KOWLOON CITY
TAK OI SECONDARY SCHOOL,839100,823160,GIRLS,WONG TAI SIN
AOG HEBRON SECONDARY SCHOOL,834460,834544,CO-ED,TAI PO
MUNSANG COLLEGE (HONG KONG ISLAND),841169,816022,CO-ED,EASTERN
CMA CHOI CHEUNG KOK SECONDARY SCHOOL,815915,827836,CO-ED,TUEN MUN
TWGH SUN HOI DIRECTORS' COLLEGE,814484,826236,CO-ED,TUEN MUN
SKH BISHOP MOK SAU TSENG SEC SCH,835560,834040,CO-ED,TAI PO
LOCK TAO SECONDARY SCHOOL,836026,826772,CO-ED,SHA TIN
RHENISH CHURCH PANG HOK-KO MEMORIAL COLL,836911,821703,CO-ED,KOWLOON CITY
MKMCF MA CHAN DUEN HEY MEM COLLEGE,844539,820098,CO-ED,SAI KUNG
FANLING KAU YAN COLLEGE,832305,838741,CO-ED,NORTH
HOLY FAMILY CANOSSIAN COLLEGE,837169.8,821705.3,GIRLS,KOWLOON CITY
SAN WUI COMMERCIAL SOC CHAN PAK SHA SCH,835184,811854,CO-ED,SOUTHERN
SKH LI FOOK HING SECONDARY SCHOOL,842831,814236,CO-ED,EASTERN
C&MA SUN KEI SECONDARY SCHOOL,844806,818997,CO-ED,SAI KUNG
CCC MING YIN COLLEGE,835413,821422,CO-ED,SHAM SHUI PO
CARITAS FANLING CHAN CHUN HA SEC SCH,832696,839075,CO-ED,NORTH
GCC&ITKD LAU PAK LOK SEC SCH,836138,825945,CO-ED,SHA TIN
CCC KEI CHI SECONDARY SCHOOL,841174,819761,CO-ED,KWUN TONG
PENTECOSTAL SCHOOL,836699.4,820251.9,CO-ED,KOWLOON CITY
ST MARK'S SCHOOL,841391.6,815835,CO-ED,EASTERN
STEWARDS POOI TUN SECONDARY SCHOOL,839486.9,822350.8,CO-ED,WONG TAI SIN
BUDDHIST TAI HUNG COLLEGE,834343,822337,CO-ED,SHAM SHUI PO
